Pulsometer RR [Aimar Mun 2015] heart rate raw data exported
Get Pulsometer RR --> https://play.google.com/store/apps/details?id=com.beetlesoft.pulsometer
CSV version format: 1.4
DB version: 1

Title:	
Comments:	
Date:	7/1/20 5:31 AM
Duration:	00:26:17'67
Activities:	Other
Max HR:	104
Average HR:	79
Calories:	93
Time format pattern: "yyyy-MM-dd HH:mm:ss.SSS"

Timespan:	Time formatted:	Elapsed time	Heart rate:	Detection:
1593595878291	2020-07-01 05:31:18.291	00:00:01	89	OK
1593595878538	2020-07-01 05:31:18.538	00:00:01	89	OK
1593595879276	2020-07-01 05:31:19.276	00:00:02	89	OK
1593595879768	2020-07-01 05:31:19.768	00:00:03	90	OK
1593595880509	2020-07-01 05:31:20.509	00:00:03	90	OK
1593595881247	2020-07-01 05:31:21.247	00:00:04	90	OK
1593595881748	2020-07-01 05:31:21.748	00:00:05	90	OK
1593595882487	2020-07-01 05:31:22.487	00:00:05	89	OK
1593595883219	2020-07-01 05:31:23.219	00:00:06	89	OK
1593595883955	2020-07-01 05:31:23.955	00:00:07	89	OK
1593595884447	2020-07-01 05:31:24.447	00:00:07	89	OK
1593595885187	2020-07-01 05:31:25.187	00:00:08	88	OK
1593595885926	2020-07-01 05:31:25.926	00:00:09	88	OK
1593595886665	2020-07-01 05:31:26.665	00:00:10	88	OK
1593595887401	2020-07-01 05:31:27.401	00:00:10	87	OK
1593595888141	2020-07-01 05:31:28.141	00:00:11	86	OK
1593595888885	2020-07-01 05:31:28.885	00:00:12	86	OK
1593595889621	2020-07-01 05:31:29.621	00:00:12	86	OK
1593595890357	2020-07-01 05:31:30.357	00:00:13	86	OK
1593595891098	2020-07-01 05:31:31.098	00:00:14	86	OK
1593595891835	2020-07-01 05:31:31.835	00:00:15	84	OK
1593595892575	2020-07-01 05:31:32.575	00:00:15	83	OK
1593595893317	2020-07-01 05:31:33.317	00:00:16	83	OK
1593595894056	2020-07-01 05:31:34.056	00:00:17	83	OK
1593595894799	2020-07-01 05:31:34.799	00:00:17	83	OK
1593595895531	2020-07-01 05:31:35.531	00:00:18	84	OK
1593595896269	2020-07-01 05:31:36.269	00:00:19	84	OK
1593595896764	2020-07-01 05:31:36.764	00:00:20	85	OK
1593595897503	2020-07-01 05:31:37.503	00:00:20	85	OK
1593595898251	2020-07-01 05:31:38.251	00:00:21	86	OK
1593595898733	2020-07-01 05:31:38.733	00:00:22	86	OK
1593595899471	2020-07-01 05:31:39.471	00:00:22	87	OK
1593595900210	2020-07-01 05:31:40.210	00:00:23	88	OK
1593595900704	2020-07-01 05:31:40.704	00:00:24	88	OK
1593595901449	2020-07-01 05:31:41.449	00:00:24	89	OK
1593595901944	2020-07-01 05:31:41.944	00:00:25	90	OK
1593595902684	2020-07-01 05:31:42.684	00:00:26	90	OK
1593595903419	2020-07-01 05:31:43.419	00:00:27	91	OK
1593595903912	2020-07-01 05:31:43.912	00:00:27	91	OK
1593595904652	2020-07-01 05:31:44.652	00:00:28	92	OK
1593595905147	2020-07-01 05:31:45.147	00:00:29	92	OK
1593595905874	2020-07-01 05:31:45.874	00:00:30	93	OK
1593595906366	2020-07-01 05:31:46.366	00:00:31	93	OK
1593595907109	2020-07-01 05:31:47.109	00:00:31	94	OK
1593595907607	2020-07-01 05:31:47.607	00:00:32	95	OK
1593595908337	2020-07-01 05:31:48.337	00:00:33	95	OK
1593595908838	2020-07-01 05:31:48.838	00:00:33	96	OK
1593595909325	2020-07-01 05:31:49.325	00:00:34	96	OK
1593595910069	2020-07-01 05:31:50.069	00:00:35	96	OK
1593595910561	2020-07-01 05:31:50.561	00:00:36	97	OK
1593595911292	2020-07-01 05:31:51.292	00:00:36	97	OK
1593595911784	2020-07-01 05:31:51.784	00:00:37	97	OK
1593595912531	2020-07-01 05:31:52.531	00:00:38	97	OK
1593595913025	2020-07-01 05:31:53.025	00:00:39	97	OK
1593595913764	2020-07-01 05:31:53.764	00:00:39	97	OK
1593595914262	2020-07-01 05:31:54.262	00:00:40	97	OK
1593595914996	2020-07-01 05:31:54.996	00:00:41	96	OK
1593595915733	2020-07-01 05:31:55.733	00:00:42	96	OK
1593595916226	2020-07-01 05:31:56.226	00:00:42	95	OK
1593595916966	2020-07-01 05:31:56.966	00:00:43	95	OK
1593595917457	2020-07-01 05:31:57.457	00:00:44	95	OK
1593595918198	2020-07-01 05:31:58.198	00:00:44	95	OK
1593595918935	2020-07-01 05:31:58.935	00:00:45	94	OK
1593595919426	2020-07-01 05:31:59.426	00:00:46	94	OK
1593595920165	2020-07-01 05:32:00.165	00:00:47	95	OK
1593595920659	2020-07-01 05:32:00.659	00:00:47	95	OK
1593595921391	2020-07-01 05:32:01.391	00:00:48	95	OK
1593595921891	2020-07-01 05:32:01.891	00:00:49	96	OK
1593595922627	2020-07-01 05:32:02.627	00:00:50	96	OK
1593595923122	2020-07-01 05:32:03.122	00:00:50	97	OK
1593595923614	2020-07-01 05:32:03.614	00:00:51	97	OK
1593595924346	2020-07-01 05:32:04.346	00:00:52	98	OK
1593595924847	2020-07-01 05:32:04.847	00:00:52	98	OK
1593595925583	2020-07-01 05:32:05.583	00:00:53	99	OK
1593595926078	2020-07-01 05:32:06.078	00:00:54	99	OK
1593595926569	2020-07-01 05:32:06.569	00:00:54	99	OK
1593595927306	2020-07-01 05:32:07.306	00:00:55	99	OK
1593595927802	2020-07-01 05:32:07.802	00:00:56	99	OK
1593595928539	2020-07-01 05:32:08.539	00:00:56	99	OK
1593595929033	2020-07-01 05:32:09.033	00:00:57	99	OK
1593595929771	2020-07-01 05:32:09.771	00:00:58	99	OK
1593595930269	2020-07-01 05:32:10.269	00:00:58	99	OK
1593595930756	2020-07-01 05:32:10.756	00:00:59	99	OK
1593595931497	2020-07-01 05:32:11.497	00:01:00	99	OK
1593595931987	2020-07-01 05:32:11.987	00:01:00	99	OK
1593595932731	2020-07-01 05:32:12.731	00:01:01	98	OK
1593595933464	2020-07-01 05:32:13.464	00:01:02	98	OK
1593595933957	2020-07-01 05:32:13.957	00:01:02	98	OK
1593595934690	2020-07-01 05:32:14.690	00:01:03	98	OK
1593595935189	2020-07-01 05:32:15.189	00:01:04	97	OK
1593595935928	2020-07-01 05:32:15.928	00:01:04	97	OK
1593595936419	2020-07-01 05:32:16.419	00:01:05	97	OK
1593595937160	2020-07-01 05:32:17.160	00:01:06	97	OK
1593595937654	2020-07-01 05:32:17.654	00:01:07	97	OK
1593595938386	2020-07-01 05:32:18.386	00:01:07	98	OK
1593595938874	2020-07-01 05:32:18.874	00:01:08	99	OK
1593595939366	2020-07-01 05:32:19.366	00:01:09	99	OK
1593595939867	2020-07-01 05:32:19.867	00:01:09	100	OK
1593595940608	2020-07-01 05:32:20.608	00:01:10	101	OK
1593595941099	2020-07-01 05:32:21.099	00:01:11	102	OK
1593595941599	2020-07-01 05:32:21.599	00:01:11	102	OK
1593595942326	2020-07-01 05:32:22.326	00:01:12	103	OK
1593595942823	2020-07-01 05:32:22.823	00:01:12	104	OK
1593595943313	2020-07-01 05:32:23.313	00:01:13	104	OK
1593595944054	2020-07-01 05:32:24.054	00:01:14	103	OK
1593595944550	2020-07-01 05:32:24.550	00:01:14	103	OK
1593595945039	2020-07-01 05:32:25.039	00:01:15	102	OK
1593595945777	2020-07-01 05:32:25.777	00:01:16	102	OK
1593595946518	2020-07-01 05:32:26.518	00:01:17	102	OK
1593595947256	2020-07-01 05:32:27.256	00:01:17	102	OK
1593595947748	2020-07-01 05:32:27.748	00:01:18	99	OK
1593595948488	2020-07-01 05:32:28.488	00:01:19	98	OK
1593595949225	2020-07-01 05:32:29.225	00:01:19	96	OK
1593595949965	2020-07-01 05:32:29.965	00:01:20	95	OK
1593595950704	2020-07-01 05:32:30.704	00:01:20	95	OK
1593595951443	2020-07-01 05:32:31.443	00:01:21	93	OK
