Pulsometer RR [Aimar Mun 2015] heart rate raw data exported
Get Pulsometer RR --> https://play.google.com/store/apps/details?id=com.beetlesoft.pulsometer
CSV version format: 1.4
DB version: 1

Title:	
Comments:	
Date:	11/11/18 8:13 PM
Duration:	01:03:54'08
Activities:	Other
Max HR:	125
Average HR:	88
Calories:	370
Time format pattern: "yyyy-MM-dd HH:mm:ss.SSS"

Timespan:	Time formatted:	Elapsed time	Heart rate:	Detection:
1541985182188	2018-11-11 20:13:02.188	00:00:01	119	OK
1541985182444	2018-11-11 20:13:02.444	00:00:01	119	OK
1541985183171	2018-11-11 20:13:03.171	00:00:01	115	OK
1541985183665	2018-11-11 20:13:03.665	00:00:02	113	OK
1541985184405	2018-11-11 20:13:04.405	00:00:02	110	OK
1541985184897	2018-11-11 20:13:04.897	00:00:03	108	OK
1541985185630	2018-11-11 20:13:05.630	00:00:03	105	OK
1541985186376	2018-11-11 20:13:06.376	00:00:04	103	OK
1541985187111	2018-11-11 20:13:07.111	00:00:05	103	OK
1541985187606	2018-11-11 20:13:07.606	00:00:05	102	OK
1541985188097	2018-11-11 20:13:08.097	00:00:06	102	OK
1541985188835	2018-11-11 20:13:08.835	00:00:06	100	OK
1541985189577	2018-11-11 20:13:09.577	00:00:07	99	OK
1541985190312	2018-11-11 20:13:10.312	00:00:08	97	OK
1541985190804	2018-11-11 20:13:10.804	00:00:08	96	OK
1541985191544	2018-11-11 20:13:11.544	00:00:09	96	OK
1541985192283	2018-11-11 20:13:12.283	00:00:10	95	OK
1541985192775	2018-11-11 20:13:12.775	00:00:10	94	OK
1541985193518	2018-11-11 20:13:13.518	00:00:11	93	OK
1541985194253	2018-11-11 20:13:14.253	00:00:11	93	OK
1541985194997	2018-11-11 20:13:14.997	00:00:12	92	OK
1541985195486	2018-11-11 20:13:15.486	00:00:13	92	OK
1541985196223	2018-11-11 20:13:16.223	00:00:13	91	OK
1541985196961	2018-11-11 20:13:16.961	00:00:14	90	OK
1541985197706	2018-11-11 20:13:17.706	00:00:15	90	OK
1541985198208	2018-11-11 20:13:18.208	00:00:15	90	OK
1541985198933	2018-11-11 20:13:18.933	00:00:16	91	OK
1541985199684	2018-11-11 20:13:19.684	00:00:16	91	OK
1541985200163	2018-11-11 20:13:20.163	00:00:17	90	OK
1541985200905	2018-11-11 20:13:20.905	00:00:18	90	OK
1541985201392	2018-11-11 20:13:21.392	00:00:18	90	OK
1541985202131	2018-11-11 20:13:22.131	00:00:19	90	OK
1541985202623	2018-11-11 20:13:22.623	00:00:20	93	OK
1541985203119	2018-11-11 20:13:23.119	00:00:20	94	OK
1541985203857	2018-11-11 20:13:23.857	00:00:21	95	OK
1541985204351	2018-11-11 20:13:24.351	00:00:22	96	OK
1541985205089	2018-11-11 20:13:25.089	00:00:23	96	OK
1541985205582	2018-11-11 20:13:25.582	00:00:23	96	OK
1541985206076	2018-11-11 20:13:26.076	00:00:24	97	OK
1541985206812	2018-11-11 20:13:26.812	00:00:25	98	OK
1541985207305	2018-11-11 20:13:27.305	00:00:25	98	OK
1541985207808	2018-11-11 20:13:27.808	00:00:26	99	OK
1541985208547	2018-11-11 20:13:28.547	00:00:27	100	OK
1541985209038	2018-11-11 20:13:29.038	00:00:27	101	OK
1541985209530	2018-11-11 20:13:29.530	00:00:28	102	OK
1541985210022	2018-11-11 20:13:30.022	00:00:28	103	OK
1541985210764	2018-11-11 20:13:30.764	00:00:29	104	OK
1541985211247	2018-11-11 20:13:31.247	00:00:30	105	OK
1541985211738	2018-11-11 20:13:31.738	00:00:30	106	OK
1541985212231	2018-11-11 20:13:32.231	00:00:31	107	OK
1541985212723	2018-11-11 20:13:32.723	00:00:32	108	OK
1541985213218	2018-11-11 20:13:33.218	00:00:32	110	OK
1541985213716	2018-11-11 20:13:33.716	00:00:33	110	OK
1541985214453	2018-11-11 20:13:34.453	00:00:34	110	OK
1541985214949	2018-11-11 20:13:34.949	00:00:35	109	OK
1541985215439	2018-11-11 20:13:35.439	00:00:35	109	OK
1541985215934	2018-11-11 20:13:35.934	00:00:36	109	OK
1541985216421	2018-11-11 20:13:36.421	00:00:37	110	OK
1541985217157	2018-11-11 20:13:37.157	00:00:37	110	OK
1541985217647	2018-11-11 20:13:37.647	00:00:38	110	OK
1541985218143	2018-11-11 20:13:38.143	00:00:39	110	OK
1541985218889	2018-11-11 20:13:38.889	00:00:39	110	OK
1541985219629	2018-11-11 20:13:39.629	00:00:40	110	OK
1541985220120	2018-11-11 20:13:40.120	00:00:41	108	OK
1541985220859	2018-11-11 20:13:40.859	00:00:42	107	OK
1541985221351	2018-11-11 20:13:41.351	00:00:42	106	OK
1541985221839	2018-11-11 20:13:41.839	00:00:43	106	OK
1541985222583	2018-11-11 20:13:42.583	00:00:44	107	OK
1541985223075	2018-11-11 20:13:43.075	00:00:44	108	OK
1541985223568	2018-11-11 20:13:43.568	00:00:45	107	OK
1541985224058	2018-11-11 20:13:44.058	00:00:46	107	OK
1541985224799	2018-11-11 20:13:44.799	00:00:46	106	OK
1541985225291	2018-11-11 20:13:45.291	00:00:47	106	OK
1541985225785	2018-11-11 20:13:45.785	00:00:48	106	OK
1541985226524	2018-11-11 20:13:46.524	00:00:48	107	OK
1541985227015	2018-11-11 20:13:47.015	00:00:49	106	OK
